,0,1,2,3
321,6.0,0.0,7.0,27.0
322,6.0,0.0,7.0,28.0
323,6.0,0.0,7.0,29.0
324,6.0,0.0,7.0,30.0
325,6.0,0.0,7.0,31.0
326,0.0,0.0,1.0,15.0
327,1.0,0.0,22.0,84.0
328,4.0,0.0,11.0,50.0
329,6.0,0.0,7.0,32.0
330,1.0,0.0,22.0,85.0
331,6.0,0.0,7.0,33.0
332,4.0,0.0,11.0,51.0
333,9.0,-0.0,1.0,14.0
334,5.0,0.0,5.0,32.0
335,6.0,0.0,7.0,34.0
336,6.0,0.0,7.0,35.0
337,1.0,0.0,22.0,86.0
338,6.0,0.0,7.0,36.0
339,1.0,0.0,22.0,87.0
340,1.0,0.0,22.0,88.0
341,5.0,0.0,5.0,33.0
342,6.0,0.0,7.0,37.0
343,3.0,0.0,2.0,19.0
344,1.0,0.0,22.0,89.0
345,1.0,100.0,23.0,89.0
346,4.0,0.0,11.0,52.0
347,1.0,0.0,23.0,90.0
348,1.0,0.0,23.0,91.0
349,6.0,0.0,7.0,38.0
350,4.0,0.0,11.0,53.0
351,4.0,0.0,11.0,54.0
352,5.0,20.000000000000014,6.0,33.0
353,1.0,100.0,24.0,91.0
354,1.0,0.0,24.0,92.0
355,5.0,0.0,6.0,34.0
356,1.0,0.0,24.0,93.0
357,6.0,0.0,7.0,39.0
358,4.0,0.0,11.0,55.0
359,3.0,0.0,2.0,20.0
360,7.0,0.0,1.0,2.0
361,0.0,0.0,1.0,2.0
362,1.0,0.0,1.0,2.0
363,9.0,-0.0,1.0,2.0
364,4.0,0.0,1.0,2.0
365,3.0,0.0,1.0,2.0
366,8.0,-0.0,1.0,2.0
367,5.0,0.0,1.0,2.0
368,3.0,0.0,1.0,3.0
369,6.0,0.0,1.0,2.0
370,4.0,0.0,1.0,3.0
371,2.0,0.0,1.0,2.0
372,1.0,0.0,1.0,3.0
373,9.0,-0.0,1.0,3.0
374,3.0,0.0,1.0,4.0
375,6.0,0.0,1.0,3.0
376,0.0,50.0,2.0,2.0
377,0.0,0.0,2.0,3.0
378,8.0,-0.0,1.0,3.0
379,2.0,0.0,1.0,3.0
380,7.0,0.0,1.0,3.0
381,5.0,0.0,1.0,3.0
382,9.0,-0.0,1.0,4.0
383,1.0,0.0,1.0,4.0
384,3.0,0.0,1.0,5.0
385,2.0,0.0,1.0,4.0
386,7.0,0.0,1.0,4.0
387,4.0,50.0,2.0,3.0
388,0.0,0.0,2.0,4.0
389,2.0,0.0,1.0,5.0
390,5.0,20.000000000000014,2.0,3.0
391,4.0,0.0,2.0,4.0
392,5.0,0.0,2.0,4.0
393,9.0,-0.0,1.0,5.0
394,0.0,0.0,2.0,5.0
395,1.0,0.0,1.0,5.0
396,5.0,0.0,2.0,5.0
397,4.0,0.0,2.0,5.0
398,6.0,0.0,1.0,4.0
399,5.0,0.0,2.0,6.0
400,7.0,0.0,1.0,5.0
401,6.0,0.0,1.0,5.0
402,8.0,-0.0,1.0,4.0
403,0.0,0.0,2.0,6.0
404,0.0,0.0,2.0,7.0
405,4.0,0.0,2.0,6.0
406,1.0,0.0,1.0,6.0
407,5.0,0.0,2.0,7.0
408,7.0,0.0,1.0,6.0
409,5.0,0.0,2.0,8.0
410,8.0,-0.0,1.0,5.0
411,4.0,0.0,2.0,7.0
412,0.0,0.0,2.0,8.0
413,0.0,0.0,2.0,9.0
414,9.0,-0.0,1.0,6.0
415,7.0,0.0,1.0,7.0
416,3.0,0.0,1.0,6.0
417,5.0,0.0,2.0,9.0
418,4.0,0.0,2.0,8.0
419,0.0,0.0,2.0,10.0
420,5.0,0.0,2.0,10.0
421,5.0,0.0,2.0,11.0
422,1.0,100.0,2.0,6.0
